Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"Environmental Conservation, Department of",09RL0656,Solid Waste Management,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,REES/TA/BL,Rush Landfill,239000,0,0
"Environmental Conservation, Department of",09RL0756,Solid Waste Management,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/07,Rush Landfill,350000,0,0
"Environmental Conservation, Department of",09RL0856,Solid Waste Management,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/08,Rush Landfill,19000,0,0
"Environmental Conservation, Department of",09RL0956,Solid Waste Management,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/09,Rush Landfill,50000,0,0
"Environmental Conservation, Department of",09RL1056,Solid Waste Management,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/10,Rush Landfill,50000,0,0
"Environmental Conservation, Department of",09SE07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Long Island South Shore Estuary Reserve,70000,70323,0
"Environmental Conservation, Department of",09SE08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Long Island South Shore Estuary Reserve,95000,95130,0
"Environmental Conservation, Department of",09SE09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Long Island South Shore Estuary Reserve,343000,0,0
"Environmental Conservation, Department of",09SE10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Long Island South Shore Estuary Reserve,709000,475268,0
"Environmental Conservation, Department of",09SE11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Long Island South Shore Estuary Reserve,691000,0,0
"Environmental Conservation, Department of",09SE12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Long Island South Shore Estuary Reserve,900000,0,0
"Environmental Conservation, Department of",09SE13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Long Island South Shore Estuary Reserve,900000,0,0
"Environmental Conservation, Department of",09SE14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,LI south shore estuary,900000,0,0
"Environmental Conservation, Department of",09SE15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Long Island South Shore Estuary,0,0,900000
"Environmental Conservation, Department of",09SF0551,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/05,State/Federal Compliance,196000,162555,0
"Environmental Conservation, Department of",09SF0651,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/06,"State/Fed Comp, Exec Ord 111, Env Defic",11000,10870,0
"Environmental Conservation, Department of",09SF0751,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/07,"State/Fed Comp, Exec Ord 111, Env Defic",64000,3226,0
"Environmental Conservation, Department of",09SF0851,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/08,"State/Fed Comp, Exec Ord 111, Env Defic",46000,26637,0
"Environmental Conservation, Department of",09SF0951,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/09,"State/Fed Comp, Exec Ord 111, Env Defic",65000,19337,0
"Environmental Conservation, Department of",09SF1051,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/10,"State/Fed Comp, Exec Ord 111, Env Defic",57000,198,0
"Environmental Conservation, Department of",09SF1251,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,"State/Fed Comp, Exec Ord 111, Env Defic",266000,2125,0
"Environmental Conservation, Department of",09SF1257,Water Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0054/01/12,SRF Federal,149345000,0,0
"Environmental Conservation, Department of",09SF1351,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,"State/Fed Comp, Exec Ord 111, Env Defic",658000,458913,0
"Environmental Conservation, Department of",09SF1357,Water Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0054/01/13,SRF Federal,175000000,0,0
"Environmental Conservation, Department of",09SF1451,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Executive Order 111,1200000,0,0
"Environmental Conservation, Department of",09SF1457,Water Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0054/01/14,SRF Federal - Future,175000000,0,0
"Environmental Conservation, Department of",09SF1551,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Exec Order 88,0,0,2000000
"Environmental Conservation, Department of",09SF1557,Water Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0000/00/15,SRF Federal,0,0,175000000
"Environmental Conservation, Department of",09SG07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Smart Growth,401000,231353,0
"Environmental Conservation, Department of",09SG08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Smart Growth,625000,333566,0
"Environmental Conservation, Department of",09SG09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Smart Growth,265000,204389,0
"Environmental Conservation, Department of",09SG10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Smart Growth,300000,0,0
"Environmental Conservation, Department of",09SG11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Smart Growth,300000,0,0
"Environmental Conservation, Department of",09SG12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Smart Growth,300000,0,0
"Environmental Conservation, Department of",09SG13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Smart Growth,400000,0,0
"Environmental Conservation, Department of",09SG14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,smart growth,400000,0,0
"Environmental Conservation, Department of",09SG15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Smart Growth,0,0,600000
"Environmental Conservation, Department of",09SM07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Secondary materials marketing,8750000,0,0
"Environmental Conservation, Department of",09SM08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Secondary materials marketing,2500000,0,0
"Environmental Conservation, Department of",09SM09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Secondary materials marketing,1381000,0,0
"Environmental Conservation, Department of",09SM10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Secondary materials marketing,1000000,0,0
"Environmental Conservation, Department of",09SM11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Secondary materials marketing,1000000,0,0
"Environmental Conservation, Department of",09SM12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Secondary materials marketing,1000000,0,0
"Environmental Conservation, Department of",09SM13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Secondary materials marketing,1000000,0,0
"Environmental Conservation, Department of",09SM14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,secondary materials marketing,1000000,0,0
"Environmental Conservation, Department of",09SM15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Secondary Marketing Materials,0,0,1000000
"Environmental Conservation, Department of",09SO08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Solar Initiatives,135000,0,0
"Environmental Conservation, Department of",09ST07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Public Access & Stewardship,1113000,286604,0
"Environmental Conservation, Department of",09ST08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Public Access & Stewardship,740000,99953,0
"Environmental Conservation, Department of",09ST09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Public Access & Stewardship,53000,10619,0
"Environmental Conservation, Department of",09ST10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Public Access & Stewardship,1989000,117345,0
"Environmental Conservation, Department of",09ST11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,DH62/0F/,Public Access & Stewardship,3157000,618581,0
"Environmental Conservation, Department of",09ST12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Public Access & Stewardship,7531000,3025061,0
"Environmental Conservation, Department of",09ST13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Public Access & Stewardship,9372000,1599164,0
"Environmental Conservation, Department of",09ST14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,public access & stewardship,16678000,1652999,0
"Environmental Conservation, Department of",09ST15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Stewardship,0,0,18500000
"Environmental Conservation, Department of",09SW07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Soil & Water Conservation Districts,4000,0,0
"Environmental Conservation, Department of",09SW0853,Lands and Forests,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/08,Stewardship,256000,2748,0
"Environmental Conservation, Department of",09SW0953,Lands and Forests,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/09,Stewardship,900000,0,0
"Environmental Conservation, Department of",09SW1053,Lands and Forests,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/10,Stewardship,500000,0,0
"Environmental Conservation, Department of",09SW10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Soil & Water Conservation Districts,1000,0,0
"Environmental Conservation, Department of",09SW11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Soil & Water Conservation Districts,4000,0,0
"Environmental Conservation, Department of",09SW14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,soil & water conservation districts,4353000,0,0
"Environmental Conservation, Department of",09SW15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Soil & Water Conservation Districts,0,0,5275000
"Environmental Conservation, Department of",09TG07F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0055/01/07,HWRF - Oversight & Assessment - TAG,1658000,4614,0
"Environmental Conservation, Department of",09TG08F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0055/01/08,HWRF - Oversight & Assessment - TAG,2250000,0,0
"Environmental Conservation, Department of",09TG09F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0055/01/09,HWRF - Oversight & Assessment - TAG,2250000,0,0
"Environmental Conservation, Department of",09TG10F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0055/01/10,HWRF - Oversight & Assessment - TAG,2250000,0,0
"Environmental Conservation, Department of",09W10063,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/00,Various Shore Projects,233000,0,0
"Environmental Conservation, Department of",09W10163,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/01,Various Shore Protection,725000,0,0
"Environmental Conservation, Department of",09W10263,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/02,Various Shore Protection,15000,0,0
"Environmental Conservation, Department of",09W10363,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/03,Various Shore Protection,337000,0,0
"Environmental Conservation, Department of",09W10463,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/04,Various Shore Protection,1000000,0,0
"Environmental Conservation, Department of",09W10563,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/05,Various Shore Protection,800000,0,0
"Environmental Conservation, Department of",09W10663,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0550/10/6,Various Shore Protection,537000,0,0
"Environmental Conservation, Department of",09W10863,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/08,Various Shore Protection,22000,0,0
"Environmental Conservation, Department of",09W10963,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/09,Various Shore Protection,1000000,0,0
"Environmental Conservation, Department of",09W11163,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/11,Various Shore Protection,1000000,0,0
"Environmental Conservation, Department of",09W11263,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/13,Various Shore Protection,1000000,0,0
"Environmental Conservation, Department of",09W29963,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/99,Rockaway Beach Nourishment,147000,0,0
"Environmental Conservation, Department of",09WQ07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Water Quality Improvement Projects,6303000,5172035,0
"Environmental Conservation, Department of",09WQ08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Water Quality Improvement Projects,8995000,8000641,0
"Environmental Conservation, Department of",09WQ09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Water Quality Improvement Projects,4107000,2351716,0
"Environmental Conservation, Department of",09WQ10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Water Quality Improvement Projects,2006000,2005981,0
"Environmental Conservation, Department of",09WQ11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Water Quality Improvement Projects,2932000,300036,0
"Environmental Conservation, Department of",09WQ12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Water Quality Improvement Projects,2932000,0,0
"Environmental Conservation, Department of",09WQ13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Water Quality Improvement Projects,6945000,0,0
"Environmental Conservation, Department of",09WQ14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,water quality improvement projects,7800000,0,0
"Environmental Conservation, Department of",09WQ15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Water Quality Improvement Program,0,0,8000000
"Environmental Conservation, Department of",09WR07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Local Waterfront Revitalization,14879000,10226749,0
"Environmental Conservation, Department of",09WR08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Local Waterfront Revitalization,13130000,10449469,0
"Environmental Conservation, Department of",09WR09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Local Waterfront Revitalization,17006000,11148378,0
"Environmental Conservation, Department of",09WR10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Local Waterfront Revitalization,10660000,4680109,0
"Environmental Conservation, Department of",09WR11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Local Waterfront Revitalization,10173000,5566790,0
"Environmental Conservation, Department of",09WR12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Local Waterfront Revitalization,10799000,8200155,0
"Environmental Conservation, Department of",09WR13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Local Waterfront Revitalization,12500000,9699503,0
"Environmental Conservation, Department of",09WR14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,waterfront revitalization programs,12500000,245200,0
"Environmental Conservation, Department of",09WR15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Waterfront Revitalization,0,0,12500000
"Environmental Conservation, Department of",09WW1557,Water Resources,Environmental Protection or Improvements,Capital Projects Fund,Cap Proj Fund - DEC Regular (Auth Bonds),0000/00/15,NYS Water Infrastructure Act,0,0,200000000
"Environmental Conservation, Department of",09ZB08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,"Zoos, Botanical Gardens & Aquaria",74000,0,0
"Environmental Conservation, Department of",09ZB09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,"Zoos, Botanical Gardens & Aquaria",83000,0,0
"Environmental Conservation, Department of",09ZB10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,"Zoos, Botanical Gardens & Aquaria",15000,0,0
"Environmental Conservation, Department of",09ZB11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,"Zoos, Botanical Gardens & Aquaria",36000,0,0
"Environmental Conservation, Department of",09ZB12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,"Zoos, Botanical Gardens & Aquaria",101000,0,0
"Environmental Conservation, Department of",09ZB13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,"Zoos, Botanical Gardens & Aquaria",7994000,363016,0
"Environmental Conservation, Department of",09ZB14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,"zoo, botanical gardens & aquaria",11350000,5929578,0
"Environmental Conservation, Department of",09ZB15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,"Zoos, Botanical Gardens and Aquaria",0,0,12450000
"Environmental Conservation, Department of",71059210,Environmental Quality Protection Bond Fund,Bond Proceeds,Environmental Quality Protection Bond Act (1972),Environmental Quality Protection Bond Fund,0055/01/96,Pay CCf -Environmental Quality Projec,24882000,0,0
"Environmental Conservation, Department of",71109210,Environmental Quality Bond Act Fund ,Bond Proceeds,Environmental Quality Bond Act (1986),Environmental Quality Bond Act Fund - 1986,0054/01/92,Environmental Quality Bond Act Fund,63390000,0,0
"Environmental Conservation, Department of",71E294ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/94,Solid Waste Account,1403000,3359,0
"Environmental Conservation, Department of",71E295ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/95,Solid Waste Account,1000,0,0
"Environmental Conservation, Department of",71E394ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/96,"Parks, Recreation & Historic Pres Acc",250000,0,0
"Environmental Conservation, Department of",71E395ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/96,"Parks, Rec, & Hist Pres Account",220000,0,0
"Environmental Conservation, Department of",71E494ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/94,Open Space Account,25000,0,0
"Environmental Conservation, Department of",71E495ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/95,Open Space Account,120000,0,0
"General Services, Office of",050109SU,Sustainability,Sustainability,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0050/01/09,Sustainability Projects,10343000,0,0
"General Services, Office of",05011330,Design and Construction Supervision,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/13,Design & Construction: Various Projects,9000000,501174,0
"General Services, Office of",05011430,Design and Construction Supervision,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/14,Design and Construction: Various Projec,9000000,0,0
"General Services, Office of",05011501,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0000/00/15,Health & Safety Purpose,0,0,9080000
"General Services, Office of",05021530,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Design & Construction: Various Projects,0,0,9000000
"General Services, Office of",05030603,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/06,Capitol Repairs,5615000,784495,0
"General Services, Office of",05031503,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Preservation of Facilities,0,0,42720000
"General Services, Office of",05041505,Maintenance and Improvement of Real Property Facilities,Energy Conservation,Capital Projects Fund,Capital Projects Fund,0000/00/15,Energy Conservation Projects,0,0,4000000
"General Services, Office of",050515PM,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Preventive Maintenance of Facilities,0,0,15000000
"General Services, Office of",05060601,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0050/01/06,Health & Safety @ various sites,1792000,198051,0
"General Services, Office of",05060609,Maintenance and Improvement of Real Property Facilities,Economic Development,Capital Projects Fund,Capital Projects Fund,0050/01/06,Harriman Campus demolition & site prep,5685000,0,0
"General Services, Office of",05060701,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0050/01/07,Various Health & Safety projects,4769000,805784,0
"General Services, Office of",05060801,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0050/01/08,Various Health & Safety projects,5768000,673490,0
"General Services, Office of",05060803,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/08,Preservation of various facilities,7201000,3157784,0
"General Services, Office of",05060830,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/08,D&C for various projects,885000,301627,0
"General Services, Office of",05060903,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/09,Preservation of various facilities,5687000,3401442,0
"General Services, Office of",05061001,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0050/01/10,Health & Safety Purpose,17308000,6431725,0
"General Services, Office of",05061003,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/10,Preservation of Facilities,4875000,1607264,0
"General Services, Office of",05061030,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/10,Design & Construction: Various Projects,5394000,1124684,0
"General Services, Office of",05061101,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/11,Health & Safety Purpose,8800000,8009246,0
"General Services, Office of",05061103,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Preservation of Facilities,5517000,425874,0
"General Services, Office of",05061130,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Design & Construction: Various Projects,5805000,1022591,0
"General Services, Office of",05061201,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/12,Health & Safety Purposes,17279000,1305081,0
"General Services, Office of",05061203,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Preservation of Facilities,9847000,0,0
"General Services, Office of",05061230,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Design & Construction: Various Projects,4375000,740902,0
"General Services, Office of",050613PM,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/13,Preventive Maintenance of Facilities,13725000,6741335,0
"General Services, Office of",050614PM,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/14,Preventive Maintenance of Facilities,13106000,247979,0
"General Services, Office of",05070501,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0050/01/05,Health & Safety existing facilities,2039000,550668,0
"General Services, Office of",05071201,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/13,LOB Security Portal,65000,0,0
"General Services, Office of",05071301,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/13,Health and Safety Purpose,6320000,0,0
"General Services, Office of",05071401,Maintenance and Improvement of Real Property Facilities,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/14,Health and Safety Purpose,4000000,0,0
"General Services, Office of",050911PM,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Preventive Maintenance of Facilities,4090000,1248947,0
"General Services, Office of",050912PM,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Preventative Maintenance of Facilities,5529000,583738,0
"General Services, Office of",05131303,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Preservation of Facilities,17986000,5697617,0
"General Services, Office of",05131305,Maintenance and Improvement of Real Property Facilities,Energy Conservation,Capital Projects Fund,Capital Projects Fund,0054/01/13,Energy Conservation Projects,2926000,2888619,0
"General Services, Office of",05131403,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Preservation of Facilities,30879000,8257621,0
"General Services, Office of",05131405,Maintenance and Improvement of Real Property Facilities,Energy Conservation,Capital Projects Fund,Capital Projects Fund,0054/01/14,Energy Conservation Projects,9080000,0,0
"General Services, Office of",05220303,Maintenance and Improvement of Real Property Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/02,Preserve Facit @ Various Sites,3042000,219137,0
"General Services, Office of",05AA0607,Maintenance and Improvement of Real Property Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund,0050/01/06,State facilities,11000000,0,0
